0,1603614001552,1603614002033,481,0.9499
1,1603614002587,1603614002764,177,0.9429
2,1603614003622,1603614003831,209,0.9347
3,1603614004657,1603614004860,203,0.9309
4,1603614005689,1603614006071,382,0.9301
5,1603614006727,1603614006913,186,0.9310
6,1603614007762,1603614007982,220,0.9266
7,1603614008797,1603614009002,205,0.9241
8,1603614009832,1603614010227,395,0.9288
9,1603614010872,1603614011060,188,0.9288
10,1603614011905,1603614012383,478,0.9515
11,1603614012944,1603614013113,169,0.9424
12,1603614013977,1603614014195,218,0.9244
13,1603614015013,1603614015204,191,0.9302
14,1603614016050,1603614016378,328,0.9402
15,1603614017085,1603614017264,179,0.9343
16,1603614018118,1603614018352,234,0.9162
17,1603614019155,1603614019365,210,0.9245
18,1603614020193,1603614020544,351,0.9375
19,1603614021228,1603614021414,186,0.9313
20,1603614022264,1603614022742,478,0.9478
21,1603614023299,1603614023464,165,0.9432
22,1603614024332,1603614024530,198,0.9364
23,1603614025369,1603614025563,194,0.9320
24,1603614026405,1603614026770,365,0.9339
25,1603614027441,1603614027624,183,0.9333
26,1603614028475,1603614028692,217,0.9280
27,1603614029512,1603614029714,202,0.9259
28,1603614030545,1603614030923,378,0.9300
29,1603614031582,1603614031765,183,0.9304
30,1603614032613,1603614033090,477,0.9518
31,1603614033649,1603614033813,164,0.9428
32,1603614034687,1603614034901,214,0.9245
33,1603614035724,1603614035911,187,0.9309
34,1603614036758,1603614037079,321,0.9409
35,1603614037802,1603614037970,168,0.9355
36,1603614038835,1603614039056,221,0.9205
37,1603614039875,1603614040074,199,0.9259
38,1603614040909,1603614041243,334,0.9382
39,1603614041942,1603614042120,178,0.9322
40,1603614042980,1603614043456,476,0.9483
41,1603614044014,1603614044173,159,0.9431
42,1603614045051,1603614045244,193,0.9366
43,1603614046084,1603614046269,185,0.9324
44,1603614047121,1603614047464,343,0.9325
45,1603614048153,1603614048324,171,0.9333
46,1603614049186,1603614049388,202,0.9296
47,1603614050222,1603614050409,187,0.9274
48,1603614051256,1603614051613,357,0.9324
49,1603614052291,1603614052466,175,0.9316
50,1603614053331,1603614053808,477,0.9516
51,1603614054367,1603614054522,155,0.9435
52,1603614055400,1603614055606,206,0.9256
53,1603614056440,1603614056624,184,0.9318
54,1603614057475,1603614057775,300,0.9406
55,1603614058508,1603614058677,169,0.9352
