0,97,578341,0.9887
1,94,583451,0.9835
2,91,588812,0.9828
3,89,581438,0.9833
4,92,600186,0.9840
5,93,587534,0.9828
6,91,586355,0.9827
7,91,579736,0.9831
8,92,593871,0.9842
9,91,581603,0.9827
10,91,583096,0.9827
11,91,576607,0.9831
12,92,584122,0.9845
13,94,575187,0.9830
14,94,576915,0.9828
15,94,570197,0.9832
16,92,586918,0.9842
17,92,574367,0.9830
18,91,575761,0.9828
19,92,570380,0.9832
20,92,586264,0.9842
21,91,575300,0.9831
22,91,575104,0.9828
23,92,569749,0.9833
24,90,580859,0.9845
25,91,572331,0.9831
26,95,576786,0.9828
27,92,570751,0.9831
28,93,585759,0.9841
29,93,575288,0.9828
30,93,575621,0.9827
31,94,569462,0.9831
32,94,585061,0.9841
33,93,574010,0.9830
34,92,574429,0.9828
35,94,567771,0.9832
36,94,575323,0.9846
37,92,568863,0.9832
38,94,572595,0.9830
39,94,567550,0.9832
40,94,582569,0.9842
41,93,572961,0.9831
42,91,575426,0.9828
43,91,570670,0.9831
44,92,583868,0.9843
45,95,572668,0.9831
46,92,573474,0.9829
47,92,567628,0.9832
48,92,576287,0.9845
49,92,568704,0.9832
50,96,571853,0.9829
51,91,566772,0.9832
52,92,580252,0.9841
53,92,569978,0.9832
54,95,572007,0.9827
55,91,567241,0.9830
56,92,580860,0.9841
57,93,570173,0.9832
58,94,572511,0.9828
59,95,566438,0.9832
60,95,576155,0.9843
61,92,568533,0.9833
62,91,572375,0.9828
63,95,567064,0.9830
64,91,581627,0.9840
65,92,571061,0.9830
66,94,571636,0.9827
67,95,566700,0.9830
68,92,578700,0.9839
69,92,567134,0.9831
70,92,567378,0.9828
71,92,562065,0.9832
72,93,570254,0.9841
73,88,562744,0.9834
74,98,566158,0.9828
75,94,561991,0.9832
76,93,578946,0.9839
77,91,567811,0.9831
78,94,569033,0.9827
79,95,564801,0.9830
80,93,580454,0.9839
81,92,571668,0.9833
82,94,573009,0.9832
83,93,569099,0.9833
84,92,578927,0.9841
85,96,571175,0.9834
86,92,574445,0.9830
87,91,570213,0.9833
88,94,584954,0.9837
89,93,575200,0.9833
90,96,578301,0.9828
91,95,573512,0.9830
92,92,583058,0.9836
93,93,572886,0.9831
94,94,572981,0.9830
95,92,567502,0.9833
96,93,574704,0.9838
97,93,564432,0.9836
98,93,568741,0.9829
99,95,564990,0.9833
100,93,579607,0.9834
101,92,568135,0.9831
102,95,569802,0.9826
103,93,566332,0.9830
104,93,580677,0.9834
105,92,570260,0.9830
106,91,570652,0.9828
107,94,566236,0.9831
108,95,574699,0.9835
109,95,564216,0.9829
110,94,563948,0.9827
111,93,553393,0.9831
112,93,562877,0.9840
113,95,540502,0.9829
114,93,526977,0.9834
115,87,511058,0.9837
116,93,509777,0.9862
117,94,501802,0.9842
118,91,517990,0.9837
119,92,530148,0.9836
120,92,563903,0.9855
121,90,562638,0.9839
122,93,569789,0.9834
123,93,568349,0.9835
124,92,589862,0.9838
125,97,579911,0.9838
126,94,583661,0.9833
127,94,580636,0.9835
128,95,594093,0.9837
129,94,582842,0.9835
130,95,584434,0.9831
131,94,579605,0.9835
132,94,590344,0.9838
133,94,580263,0.9835
134,94,582480,0.9830
135,93,579573,0.9832
136,95,593576,0.9836
137,94,582030,0.9833
138,92,583933,0.9828
139,93,576184,0.9830
140,94,591428,0.9836
141,92,575733,0.9825
142,95,572146,0.9830
143,91,552507,0.9832
144,92,547611,0.9852
145,95,531414,0.9838
146,94,531219,0.9837
147,92,524535,0.9841
148,94,543174,0.9852
149,95,534897,0.9838
150,95,544322,0.9836
151,94,547558,0.9835
152,93,573528,0.9850
153,91,564778,0.9836
154,92,569542,0.9832
155,93,565910,0.9834
156,96,580252,0.9841
157,96,571132,0.9836
158,92,575036,0.9830
159,94,570556,0.9837
160,95,588309,0.9836
161,96,576452,0.9836
162,90,580239,0.9831
163,94,578070,0.9835
164,93,593608,0.9833
165,91,583109,0.9829
166,95,563460,0.9830
167,91,542235,0.9837
168,92,540982,0.9848
169,91,512431,0.9843
170,95,497706,0.9845
171,91,478763,0.9849
172,90,466285,0.9888
173,96,460826,0.9853
174,92,460034,0.9850
175,93,464502,0.9853
176,92,491365,0.9888
177,91,492164,0.9849
178,95,490541,0.9857
179,93,489568,0.9855
180,93,505916,0.9854
181,92,487196,0.9846
182,92,483524,0.9848
183,91,479472,0.9849
184,90,481996,0.9861
185,96,454702,0.9853
186,92,459080,0.9853
187,92,455985,0.9855
188,87,466087,0.9876
189,87,468100,0.9854
190,88,496811,0.9848
191,92,517604,0.9856
192,92,547986,0.9860
193,92,541878,0.9849
194,92,546855,0.9842
195,91,543342,0.9843
196,94,559952,0.9840
197,94,544602,0.9835
198,92,489495,0.9847
199,92,444884,0.9874
200,92,439786,0.9861
201,96,432645,0.9856
202,92,430701,0.9856
203,94,429560,0.9856
204,92,427822,0.9861
205,90,427555,0.9856
206,94,425865,0.9858
207,90,431779,0.9857
208,90,433155,0.9859
209,92,433418,0.9855
210,95,437392,0.9856
211,92,447620,0.9856
212,94,471151,0.9859
213,96,499659,0.9856
214,94,557505,0.9834
215,92,579648,0.9830
216,91,586652,0.9828
217,94,585859,0.9859
218,97,586898,0.9826
219,92,583348,0.9830
220,91,578267,0.9827
221,93,576069,0.9841
222,93,552352,0.9835
223,96,551474,0.9835
224,94,549693,0.9834
225,95,554588,0.9848
226,96,543328,0.9839
227,92,547371,0.9838
228,93,552297,0.9835
229,95,560851,0.9843
230,94,555953,0.9835
231,94,553056,0.9837
232,93,568311,0.9833
