0,1603686574831,1603686575132,301
9,1603686575146,1603686575435,289
17,1603686575448,1603686576122,674
34,1603686576136,1603686576825,689
52,1603686576848,1603686577513,665
69,1603686577520,1603686578171,651
86,1603686578188,1603686578833,645
102,1603686578845,1603686579538,693
120,1603686579564,1603686580353,789
140,1603686580392,1603686581202,810
161,1603686581204,1603686581869,665
178,1603686581883,1603686582554,671
195,1603686582558,1603686583258,700
212,1603686583291,1603686584033,742
232,1603686584048,1603686584644,596
